dept,siren,raison_sociale,nature_juridique,mode_financ,nb_membres,total_pop_tot,total_pop_mun,dep_com,insee,siren_membre,nom_membre,ptot_2019,pmun_2019
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01162,210101622,Flaxieu,69,69
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837,01,01019,210100194,Armix,26,26
01,200042497,CC Dombes Saône Vallée,CC,FPU,19,38793,37603,01,01427,210104279,Trévoux,7055,6849
01,200042497,CC Dombes Saône Vallée,CC,FPU,19,38793,37603,01,01322,210103222,Reyrieux,4800,4670
01,200042497,CC Dombes Saône Vallée,CC,FPU,19,38793,37603,01,01238,210102380,Massieux,2578,2519
01,200042497,CC Dombes Saône Vallée,CC,FPU,19,38793,37603,01,01166,210101663,Frans,2388,2334
01,200042497,CC Dombes Saône Vallée,CC,FPU,19,38793,37603,01,01157,210101572,Fareins,2253,2203
01,200042497,CC Dombes Saône Vallée,CC,FPU,19,38793,37603,01,01250,210102505,Misérieux,2195,1938
01,200042497,CC Dombes Saône Vallée,CC,FPU,19,38793,37603,01,01347,210103479,Saint-Didier-de-Formans,2012,1944
01,200042497,CC Dombes Saône Vallée,CC,FPU,19,38793,37603,01,01005,210100053,Ambérieux-en-Dombes,1705,1671
01,200042497,CC Dombes Saône Vallée,CC,FPU,19,38793,37603,01,01353,210103537,Sainte-Euphémie,1685,1657
01,200042497,CC Dombes Saône Vallée,CC,FPU,19,38793,37603,01,01105,210101051,Civrieux,1684,1606
01,200042497,CC Dombes Saône Vallée,CC,FPU,19,38793,37603,01,01446,210104469,Villeneuve,1517,1481
01,200042497,CC Dombes Saône Vallée,CC,FPU,19,38793,37603,01,01339,210103396,Saint-Bernard,1476,1434
01,200042497,CC Dombes Saône Vallée,CC,FPU,19,38793,37603,01,01021,210100210,Ars-sur-Formans,1418,1389
01,200042497,CC Dombes Saône Vallée,CC,FPU,19,38793,37603,01,01398,210103982,Savigneux,1349,1333
